sample_id;replicate;replicate_count;repeated_sample;batch;file_type;file_name;file_description;file_MD5;adjustment;content;header;annotation;configuration_file
ASAP216_PD_NP19-91_PUT_bulk;NA;1;NA;1;FASTQ;ASAP216_PD_NP19-91_PUT_bulk_R1.fastq.gz;Raw reads;398989a5df1e2fc38bce705aea7c1965;raw;Reads;;;
ASAP216_PD_NP19-91_PUT_bulk;NA;1;NA;1;FASTQ;ASAP216_PD_NP19-91_PUT_bulk_R2.fastq.gz;Raw reads;7bbbc43ef2dfca06e6354b0c11f16c40;raw;Reads;;;
ASAP217_ctrl_NP19-218_PUT_bulk;NA;1;NA;1;FASTQ;ASAP217_ctrl_NP19-218_PUT_bulk_R1.fastq.gz;Raw reads;9cd89dc0b18f1a0efb4365d6a4eaef57;raw;Reads;;;
ASAP217_ctrl_NP19-218_PUT_bulk;NA;1;NA;1;FASTQ;ASAP217_ctrl_NP19-218_PUT_bulk_R2.fastq.gz;Raw reads;3c554560a1cc191fad5d53752c6cd67f;raw;Reads;;;
ASAP218_ctrl_NP22-37_PUT_bulk;NA;1;NA;1;FASTQ;ASAP218_ctrl_NP22-37_PUT_bulk_R1.fastq.gz;Raw reads;96825a04d3f7c2839da5261c746bc33c;raw;Reads;;;
ASAP218_ctrl_NP22-37_PUT_bulk;NA;1;NA;1;FASTQ;ASAP218_ctrl_NP22-37_PUT_bulk_R2.fastq.gz;Raw reads;f94f416ba679ac6cdaa53a1fe97d89f4;raw;Reads;;;
ASAP219_ctrl_NP22-75_PUT_bulk;NA;1;NA;1;FASTQ;ASAP219_ctrl_NP22-75_PUT_bulk_R1.fastq.gz;Raw reads;00afadfee621e741aa267e454d72934a;raw;Reads;;;
ASAP219_ctrl_NP22-75_PUT_bulk;NA;1;NA;1;FASTQ;ASAP219_ctrl_NP22-75_PUT_bulk_R2.fastq.gz;Raw reads;ddbd20389e3551ea57ac7809cdb752e2;raw;Reads;;;
ASAP220_PD_NP19-137_PUT_bulk;NA;1;NA;1;FASTQ;ASAP220_PD_NP19-137_PUT_bulk_R1.fastq.gz;Raw reads;2746eb895c69238c099feb686956f247;raw;Reads;;;
ASAP220_PD_NP19-137_PUT_bulk;NA;1;NA;1;FASTQ;ASAP220_PD_NP19-137_PUT_bulk_R2.fastq.gz;Raw reads;1070107c9863577c49fb1adc3bd648aa;raw;Reads;;;
ASAP221_ctrl_NP19-218_PFC_bulk;NA;1;NA;1;FASTQ;ASAP221_ctrl_NP19-218_PFC_bulk_R1.fastq.gz;Raw reads;251a6b48a274c0aa45796bf44ed6d8ea;raw;Reads;;;
ASAP221_ctrl_NP19-218_PFC_bulk;NA;1;NA;1;FASTQ;ASAP221_ctrl_NP19-218_PFC_bulk_R2.fastq.gz;Raw reads;68111c3f31b7f6c794d55432bf6403ef;raw;Reads;;;
ASAP222_PD_NP21-04_PUT_bulk;NA;1;NA;1;FASTQ;ASAP222_PD_NP21-04_PUT_bulk_R1.fastq.gz;Raw reads;fc1c02c93e21a9b3e2d46ee08e2fdc0d;raw;Reads;;;
